FID,nom,x_min,y_min,x_max,y_max,url,gid,the_geom
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.54,1860_5155_8cm_CC46_IR,1860000,5155000,1865000,5160000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5155_8cm_CC46_IR.ecw,54,"MULTIPOLYGON (((5.050259390589969 45.5765703531663, 5.051909622870386 45.6215450652351, 5.116002088067833 45.62036806948289, 5.114300357646841 45.57539430092745, 5.050259390589969 45.5765703531663)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.55,1860_5160_8cm_CC46_IR,1860000,5160000,1865000,5165000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5160_8cm_CC46_IR.ecw,55,"MULTIPOLYGON (((5.051909622870386 45.6215450652351, 5.053562513210886 45.666519630321716, 5.117706559382392 45.665341690255154, 5.116002088067833 45.62036806948289, 5.051909622870386 45.6215450652351)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.56,1860_5165_8cm_CC46_IR,1860000,5165000,1865000,5170000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5165_8cm_CC46_IR.ecw,56,"MULTIPOLYGON (((5.053562513210886 45.666519630321716, 5.055218068037299 45.71149402093648, 5.119413778216221 45.71031513575318, 5.117706559382392 45.665341690255154, 5.053562513210886 45.666519630321716)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.57,1860_5170_8cm_CC46_IR,1860000,5170000,1865000,5175000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5170_8cm_CC46_IR.ecw,57,"MULTIPOLYGON (((5.055218068037299 45.71149402093648, 5.056876293796178 45.75646820956907, 5.121123751216395 45.75528837846521, 5.119413778216221 45.71031513575318, 5.055218068037299 45.71149402093648)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.58,1860_5175_8cm_CC46_IR,1860000,5175000,1865000,5180000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5175_8cm_CC46_IR.ecw,58,"MULTIPOLYGON (((5.056876293796178 45.75646820956907, 5.058537196954892 45.801442168688475, 5.122836485051445 45.80026139085884, 5.121123751216395 45.75528837846521, 5.056876293796178 45.75646820956907)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.59,1860_5180_8cm_CC46_IR,1860000,5180000,1865000,5185000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5180_8cm_CC46_IR.ecw,59,"MULTIPOLYGON (((5.058537196954892 45.801442168688475, 5.060200784001688 45.846415870743094, 5.124551986411435 45.84523414538109, 5.122836485051445 45.80026139085884, 5.058537196954892 45.801442168688475)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.60,1860_5185_8cm_CC46_IR,1860000,5185000,1865000,5190000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1860_5185_8cm_CC46_IR.ecw,60,"MULTIPOLYGON (((5.060200784001688 45.846415870743094, 5.061867061445799 45.89138928816078, 5.126270262008062 45.890206614458386, 5.124551986411435 45.84523414538109, 5.060200784001688 45.846415870743094)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.61,1865_5155_8cm_CC46_IR,1865000,5155000,1870000,5160000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1865_5155_8cm_CC46_IR.ecw,61,"MULTIPOLYGON (((5.114300357646841 45.57539430092745, 5.116002088067833 45.62036806948289, 5.18009181237526 45.619154884330676, 5.1783385904181065 45.57418208827711, 5.114300357646841 45.57539430092745)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.62,1865_5160_8cm_CC46_IR,1865000,5160000,1870000,5165000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1865_5160_8cm_CC46_IR.ecw,62,"MULTIPOLYGON (((5.116002088067833 45.62036806948289, 5.117706559382392 45.665341690255154, 5.181847858038185 45.664127531775584, 5.18009181237526 45.619154884330676, 5.116002088067833 45.62036806948289)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.63,1865_5165_8cm_CC46_IR,1865000,5165000,1870000,5170000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1865_5165_8cm_CC46_IR.ecw,63,"MULTIPOLYGON (((5.117706559382392 45.665341690255154, 5.119413778216221 45.71031513575318, 5.18360673423237 45.709100003119254, 5.181847858038185 45.664127531775584, 5.117706559382392 45.665341690255154)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.64,1865_5170_8cm_CC46_IR,1865000,5170000,1870000,5175000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1865_5170_8cm_CC46_IR.ecw,64,"MULTIPOLYGON (((5.119413778216221 45.71031513575318, 5.121123751216395 45.75528837846521, 5.185368447805326 45.75407227084848, 5.18360673423237 45.709100003119254, 5.119413778216221 45.71031513575318)))"
